,host_since,host_location,host_response_time,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,2010-07-20,"Jersey City, NJ",Sin tiempo de respuesta promedio,f,Sin información del vecindario,t,f,Private room in condo,Private room,t,2025-03-18,2010-09-23,2024-11-01,f,96.1,100.0,4.0,2.0,1.0,1.0,1.0,150.0,5.0,365,5.0,5.0,365,365,5.0,365.0,23,53,83,83,22.0,5.0,0.0,83,5.0,50,7500.0,4.95,4.95,4.95,5.0,4.86,4.9,4.95,0.12
1,2011-07-20,"Jersey City, NJ",within an hour,t,Sin información del vecindario,t,t,Entire home,Entire home/apt,t,2025-03-18,2011-09-13,2025-01-02,f,100.0,98.0,4.0,4.0,1.0,1.0,2.0,182.0,3.0,1000,3.0,4.0,1000,1000,3.9,1000.0,23,50,67,317,207.0,29.0,0.0,241,28.0,255,46410.0,4.81,4.79,4.91,4.87,4.89,4.38,4.8,1.26
2,2011-07-20,"Jersey City, NJ",within an hour,t,Sin información del vecindario,t,t,Entire home,Entire home/apt,t,2025-03-18,2011-11-21,2025-01-03,f,100.0,98.0,4.0,3.0,1.0,1.0,1.0,161.0,3.0,365,3.0,4.0,365,365,3.9,365.0,29,55,80,348,149.0,19.0,0.0,272,19.0,175,28175.0,4.76,4.78,4.9,4.91,4.85,4.4,4.74,0.92
3,2011-11-15,"Jersey City, NJ",within an hour,f,Bergen-Lafayette,t,t,Entire rental unit,Entire home/apt,t,2025-03-18,2011-11-25,2025-02-04,t,100.0,99.0,19.0,5.0,1.0,2.0,3.0,123.0,2.0,365,2.0,7.0,1125,1125,3.5,1125.0,15,23,35,296,27.8,41.0,0.0,220,40.0,255,31365.0,4.38,4.64,4.55,4.72,4.67,3.89,4.46,2.91
4,2011-11-15,"Jersey City, NJ",within an hour,f,Bergen-Lafayette,t,t,Private room in townhouse,Private room,t,2025-03-18,2012-04-16,2025-03-03,t,100.0,99.0,19.0,5.0,1.0,1.0,3.0,95.0,2.0,365,2.0,7.0,1125,1125,3.3,1125.0,8,12,19,184,27.8,25.0,1.0,112,29.0,230,21850.0,4.45,4.6,4.69,4.7,4.62,3.89,4.43,2.49
5,2012-04-30,"Jersey City, NJ",within an hour,f,Sin información del vecindario,t,t,Private room in townhouse,Private room,t,2025-03-18,2012-09-17,2025-03-10,f,94.0,100.0,3.0,2.0,1.0,1.0,1.0,94.0,3.0,9,2.0,3.0,1125,1125,3.0,1125.0,8,10,19,19,27.8,29.0,2.0,19,29.0,255,23970.0,4.77,4.85,4.69,4.96,4.94,4.83,4.76,2.78
6,2012-09-10,"Detroit, MI",within a day,t,Sin información del vecindario,t,t,Entire rental unit,Entire home/apt,t,2025-03-18,2019-03-30,2024-12-19,f,100.0,80.0,10.0,4.0,1.0,1.0,2.0,97.0,28.0,366,28.0,28.0,366,366,28.0,366.0,0,0,0,76,8.0,2.0,0.0,0,2.0,112,10864.0,4.88,4.88,4.88,4.75,5.0,4.63,4.63,0.11
7,2012-12-01,"Jersey City, NJ",within a few hours,t,Sin información del vecindario,t,t,Entire guest suite,Entire home/apt,t,2025-03-18,2013-02-10,2025-02-23,f,100.0,80.0,1.0,3.0,1.0,2.0,2.0,116.0,3.0,180,1.0,3.0,180,180,3.0,180.0,5,11,14,125,208.0,33.0,2.0,51,30.0,255,29580.0,4.95,4.97,4.97,4.99,4.97,4.69,4.93,1.41
8,2011-11-28,"New York, NY",within a few hours,f,Sin información del vecindario,t,t,Entire rental unit,Entire home/apt,t,2025-03-18,2016-07-29,2024-06-30,f,100.0,86.0,8.0,4.0,1.0,1.0,3.0,98.0,29.0,1125,29.0,29.0,1125,1125,29.0,1125.0,0,27,57,332,21.0,1.0,0.0,256,1.0,58,5684.0,4.71,4.76,4.48,4.81,4.95,4.9,4.48,0.2
9,2011-11-28,"New York, NY",within a few hours,f,Sin información del vecindario,t,t,Entire rental unit,Entire home/apt,t,2025-03-18,2016-09-25,2024-12-23,f,100.0,86.0,8.0,2.0,1.0,1.0,1.0,76.0,29.0,1125,28.0,29.0,1125,1125,28.9,1125.0,2,2,15,51,25.0,2.0,0.0,51,2.0,116,8816.0,4.84,4.76,4.76,4.96,4.92,4.84,4.83,0.24
